0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:05 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:05 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:05 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:05 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:05 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:05 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:37 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:33:42 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:34:08 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:35:31 -0600] "GET /MVCDaoProject/Logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:35:31 -0600] "GET /MVCDaoProject/Signup.jsp HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:35:53 -0600] "POST /MVCDaoProject/PensionerLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:35:53 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:35:56 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:35:56 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:36:21 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 200 1646
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:38:59 -0600] "GET /MVCDaoProject/Logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:38:59 -0600] "GET /MVCDaoProject/Signup.jsp HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:39:17 -0600] "POST /MVCDaoProject/PensionerLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:39:17 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:39:21 -0600] "GET /MVCDaoProject/Logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:39:21 -0600] "GET /MVCDaoProject/Signup.jsp HTTP/1.1" 200 1615
