127.0.0.1 - - [16/Nov/2017:07:11:56 -0600] "GET / HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:11:57 -0600] "GET /MVCDaoProject/ HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:11:57 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:13:36 -0600] "GET /MVCDaoProject/ HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:13:49 -0600] "GET /MVCDaoProject/ HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:14:03 -0600] "POST /MVCDaoProject/PensionerSignUpServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:14:03 -0600] "GET /MVCDaoProject/Login.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:14:19 -0600] "POST /MVCDaoProject/PensionerLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:14:19 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:27:57 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:28:02 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:28:50 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:29:35 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:30:25 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:30:46 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:30:55 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:31:03 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:31:33 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:31:44 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [16/Nov/2017:07:31:56 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [16/Nov/2017:08:23:51 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 404 1050
